S.No.,State Code,State Name (In English),District Code,District Name (In English),Sub-District Code,Sub-District Name (In English),Village Code,Village Version,Village Name (In English),Village Name (In Local),Village Category,Village Status,Census 2001 Code,Census 2011 Code
2147,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585611,2,Panasalapadu,,Rural,Inhabitant,1661000,585611
2148,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585613,2,Ginjarthi,,Rural,Inhabitant,1661200,585613
2149,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585614,2,Chintalapudi,,Rural,Inhabitant,1661300,585614
2150,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585617,2,Nimmalagondi,,Rural,Inhabitant,1661600,585617
2151,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585618,2,Tenkala Panukulu,,Rural,Inhabitant,1661700,585618
2152,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585619,2,Kothapalle,,Rural,Inhabitant,1661800,585619
2153,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585622,2,Katragedda,,Rural,Inhabitant,1662100,585622
2154,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585623,2,Ganerlapalem,,Rural,Inhabitant,1662200,585623
2155,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585624,2,Gamakonda,,Rural,Inhabitant,1662300,585624
2156,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585625,2,Kamparegulu,,Rural,Inhabitant,1662400,585625
2157,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585626,2,Suramanda,,Rural,Inhabitant,1662500,585626
2158,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585630,2,Bangarayyapadu,,Rural,Inhabitant,1662900,585630
2159,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585631,2,Nimmagedda,,Rural,Inhabitant,1663000,585631
2160,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585639,2,Battumetta,,Rural,Inhabitant,1663800,585639
2161,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585641,2,Battapanukulu,,Rural,Inhabitant,1664000,585641
2162,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585644,2,Thotaluru,,Rural,Inhabitant,1664300,585644
2163,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585646,2,Tulabada,,Rural,Inhabitant,1664500,585646
2164,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585647,2,Downuru,,Rural,Inhabitant,1664600,585647
2165,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585648,2,Suddalapalem,,Rural,Inhabitant,1664700,585648
